Country,2021,2022,2023,2024,2025
World,96698005.0,100562011.0,105568776.0,111326370.0,117165394.0
United States,23315081.0,25462700.0,26854599.0,29184890.0,30615743.0
China,17734131.0,17963171.0,19373586.0,18743803.0,19398577.0
Germany,4259935.0,4072192.0,4308854.0,4659929.0,5013574.0
Japan,4940878.0,4231141.0,4409738.0,4026211.0,4279828.0
India,3201471.0,3385090.0,3736882.0,3912686.0,4125213.0
United Kingdom,3131378.0,3070668.0,3158938.0,3643834.0,3958780.0
France,2957880.0,2782905.0,2923489.0,3162079.0,3361557.0
Italy,2107703.0,2010432.0,2169745.0,2372775.0,2543677.0
Russia,1778782.0,2240422.0,2062649.0,2173836.0,2540656.0
Canada,1988336.0,2139840.0,2089672.0,2241253.0,2283599.0
Brazil,1608981.0,1920096.0,2081235.0,2179412.0,2256910.0
Spain,1427381.0,1397509.0,1492432.0,1722746.0,1891371.0
Mexico,1272839.0,1414187.0,1663164.0,1852723.0,1862740.0
South Korea,1810966.0,1665246.0,1721909.0,1712793.0,1858572.0
Australia,1734532.0,1675419.0,1707548.0,1752193.0,1829508.0
Turkey,819034.0,905988.0,1029303.0,1323255.0,1565471.0
Indonesia,1186093.0,1319100.0,1391778.0,1396300.0,1443256.0
Netherlands,1012847.0,991115.0,1080880.0,1227544.0,1320635.0
Saudi Arabia,833541.0,1108149.0,1061902.0,1237530.0,1268535.0
Poland,679442.0,688177.0,748887.0,914696.0,1039619.0
Switzerland,812867.0,807706.0,869601.0,936564.0,1002666.0
Taiwan,,,790728.0,,884387.0
Belgium,594104.0,578604.0,624248.0,664564.0,716980.0
Ireland,504183.0,529245.0,594095.0,577389.0,708771.0
Argentina,487227.0,632770.0,641102.0,633267.0,683371.0
Sweden,635664.0,585939.0,599052.0,610118.0,662318.0
Israel,481591.0,522033.0,539223.0,540380.0,610752.0
Singapore,396992.0,466789.0,515548.0,547387.0,574185.0
United Arab Emirates,405468.0,507535.0,498978.0,537079.0,569097.0
Austria,480368.0,471400.0,515199.0,521642.0,566456.0
Thailand,505982.0,495341.0,574231.0,526411.0,558573.0
Norway,482175.0,579267.0,554105.0,483727.0,517102.0
Philippines,394086.0,404284.0,440901.0,461618.0,494158.0
Vietnam,366138.0,408802.0,449094.0,476388.0,484726.0
Bangladesh,414907.0,460201.0,420516.0,450119.0,475011.0
Malaysia,372702.0,406306.0,447026.0,421972.0,470572.0
Denmark,398303.0,395404.0,405626.0,429457.0,459612.0
Colombia,314464.0,343939.0,334689.0,418542.0,438121.0
Hong Kong,369174.0,359839.0,382854.0,407107.0,428233.0
South Africa,419016.0,405870.0,399015.0,400261.0,426383.0
Romania,284086.0,301262.0,348902.0,382768.0,422508.0
Pakistan,342501.0,376533.0,,373072.0,410495.0
